SMILES,MoleculeName
[Ir+4].[c-]1c(-c2ccccn2)sc2ccccc12.[c-]1c(-c2ccccn2)sc2ccccc12.c1c[nH]c(-c2ncc[nH]2)n1,(btp)2Irbiim+
Fc1c[c-]c(-c2cnc3ccccc3n2)c(F)c1.Fc1c[c-]c(-c2cnc3ccccc3n2)c(F)c1.[Ir+4].c1c[nH]c(-c2ncc[nH]2)n1,(dfpqx)2Irbiim+
COc1c[c-]c(-c2cnc3ccccc3n2)c(OC)c1.COc1c[c-]c(-c2cnc3ccccc3n2)c(OC)c1.[Ir+4].c1c[nH]c(-c2ncc[nH]2)n1,(dmpqx)2Irbiim+
[Ir+4].[c-]1ccccc1-c1cnc2ccccc2n1.[c-]1ccccc1-c1cnc2ccccc2n1.c1c[nH]c(-c2ncc[nH]2)n1,(pqx)2Irbiim+
Cc1c(C)c(C)[c-](C)c1C.[H-].[H]OC(=O)c1ccnc(-c2cc(C(=O)O[H])ccn2)c1.[Ir+4],CpIrbpyCOOHH+
Cc1c(C)c(C)[c-](C)c1C.[H-].[Ir+4].c1ccc(-c2ccccn2)nc1,CpIrbpyH+
COc1ccnc(-c2cc(OC)ccn2)c1.Cc1c(C)c(C)[c-](C)c1C.[H-].[Ir+4],CpIrbpyOMeH+
CC(=O)/C=C(/C)[O-].[Ir+4].[c-]1ccc2ccccc2c1-c1ccccn1.[c-]1ccc2ccccc2c1-c1ccccn1,Ir(1np)2acac
CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C.[Ir+4].[c-]1ccc2ccccc2c1-c1ccccn1.[c-]1ccc2ccccc2c1-c1ccccn1,Ir(1np)2dpm
CC(=O)/C=C(/C)[O-].Fc1c[c-]c(-c2ccccn2)c(F)n1.Fc1c[c-]c(-c2ccccn2)c(F)n1.[Ir+4],"Ir(2,4-dFbpy)2acac"
Fc1c[c-]c(-c2ccccn2)c(F)c1.Fc1c[c-]c(-c2ccccn2)c(F)c1.O=C([O-])c1ccccn1.[Ir+4],"Ir(2,4-dFppy)2(Pic)"
CC(=O)/C=C(/C)[O-].COc1c[c-]c(-c2ccccn2)c(OC)n1.COc1c[c-]c(-c2ccccn2)c(OC)n1.[Ir+4],"Ir(2,4-dMeO-bpy)2acac"
CC(=O)/C=C(/C)[O-].COc1c[c-]c(-c2ccccn2)c(OC)c1.COc1c[c-]c(-c2ccccn2)c(OC)c1.[Ir+4],"Ir(2,4-dMeOppy)2acac"
Fc1c[c-]c(-c2ccccn2)c(F)c1.Fc1c[c-]c(-c2ccccn2)c(F)c1.[Ir+4].c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccc(-c3ccnc(-c4cc(-c5ccc([Si](c6ccccc6)(c6ccccc6)c6ccccc6)cc5)ccn4)c3)cc2)cc1,"Ir(3,5-dFppy)2(4,4'-dTPS-bpy)+"
Fc1c[c-]c(-c2ccccn2)c(F)c1.Fc1c[c-]c(-c2ccccn2)c(F)c1.Fc1c[c-]c(-c2ccccn2)c(F)c1.[Ir+4],Ir(46dFppy)3
[Ir+4].[c-]1cc(-n2c3ccccc3c3ccccc32)ccc1-c1ccccn1.[c-]1cc(-n2c3ccccc3c3ccccc32)ccc1-c1ccccn1.[c-]1cc(-n2c3ccccc3c3ccccc32)ccc1-c1ccccn1,Ir(4carbazole-ppy)3
FC(F)(F)c1c[c-]c(-c2ccccn2)cc1.FC(F)(F)c1c[c-]c(-c2ccccn2)cc1.O=S(=O)([O-])c1ccccn1.[Ir+4],Ir(4-CFppy)2(PySO3)
[Ir+4].[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1ccccn1.[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1ccccn1.[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1ccccn1,Ir(4diphenylamine-ppy)3
FC(F)(F)c1c[c-]c(-c2ccccn2)cc1.FC(F)(F)c1c[c-]c(-c2ccccn2)cc1.FC(F)(F)c1c[c-]c(-c2ccccn2)cc1.[Ir+4],Ir(4-F3C-ppy)3
Fc1c[c-]c(-c2ccccn2)cc1.Fc1c[c-]c(-c2ccccn2)cc1.Fc1c[c-]c(-c2ccccn2)cc1.[Ir+4],Ir(4-Fppy)3
CC(C)c1c[c-]c(-c2ccccn2)cc1.CC(C)c1c[c-]c(-c2ccccn2)cc1.CC(C)c1c[c-]c(-c2ccccn2)cc1.[Ir+4],Ir(4-iPr-ppy)3
COc1c[c-]c(-c2ccccn2)c(C)c1.COc1c[c-]c(-c2ccccn2)c(C)c1.O=C([O-])c1ccccn1.[Ir+4],Ir(4-MeO-2-mbpy)2(Pic)
CC(=O)/C=C(/C)[O-].COc1c[c-]c(-c2ccccn2)c(C)n1.COc1c[c-]c(-c2ccccn2)c(C)n1.[Ir+4],Ir(4-MeO-2-mbpy)2acac
CC(=O)/C=C(/C)[O-].COc1c[c-]c(-c2ccccn2)c(C)c1.COc1c[c-]c(-c2ccccn2)c(C)c1.[Ir+4],Ir(4-MeO-2-mppy)2acac
COc1c[c-]c(-c2ccccn2)cc1.COc1c[c-]c(-c2ccccn2)cc1.COc1c[c-]c(-c2ccccn2)cc1.[Ir+4],Ir(4-MeO-ppy)3
Cc1c[c-]c(-c2ccccn2)cc1.Cc1c[c-]c(-c2ccccn2)cc1.Cc1c[c-]c(-c2ccccn2)cc1.[Ir+4],Ir(4-Me-ppy)3
Cc1csc(-c2[c-]cccc2)n1.Cc1csc(-c2[c-]cccc2)n1.[Ir+4].c1ccc(-c2ccccn2)nc1,Ir(4m-tzph)2(bpy)+
CCCc1c[c-]c(-c2ccccn2)cc1.CCCc1c[c-]c(-c2ccccn2)cc1.CCCc1c[c-]c(-c2ccccn2)cc1.[Ir+4],Ir(4-nPr-ppy)3
[Ir+4].[c-]1cc(N2c3ccccc3Sc3ccccc32)ccc1-c1ccccn1.[c-]1cc(N2c3ccccc3Sc3ccccc32)ccc1-c1ccccn1.[c-]1cc(N2c3ccccc3Sc3ccccc32)ccc1-c1ccccn1,Ir(4phenothiazine-ppy)3
[Ir+4].[c-]1cc(N2c3ccccc3Oc3ccccc32)ccc1-c1ccccn1.[c-]1cc(N2c3ccccc3Oc3ccccc32)ccc1-c1ccccn1.[c-]1cc(N2c3ccccc3Oc3ccccc32)ccc1-c1ccccn1,Ir(4phenoxazine-ppy)3
CC(C)(C)c1ccnc(-c2[c-]cc(F)cc2F)c1.CC(C)(C)c1ccnc(-c2[c-]cc(F)cc2F)c1.CC(C)(C)c1ccnc(-c2[c-]cc(F)cc2F)c1.[Ir+4],Ir(4-tBu-4'6'dFppy)3
CC(C)(C)c1ccnc(-c2[c-]cc(F)cc2)c1.CC(C)(C)c1ccnc(-c2[c-]cc(F)cc2)c1.CC(C)(C)c1ccnc(-c2ccc(F)cc2)c1.[CH3-].[Ir+4],Ir(4-tBu-4'-F-ppy)3
